Variable,Description,Wave,Educational Dimension,Missing %,Leakage,Relationship with Target,Final Decision,Justification
S2MONTIME,How often [do/did] you do these things in [math course title]? You [turn/turned] in your assignments and projects on time. 1=Never 2=Less than half of the time 3=Half of the time 4=More than half of the time 5=Always,S2 - First follow-up student survey item (2012),Academic performance,26.83,Low,Weak (Cramer's V=0.068),Include,"Statistical association with target: Weak (Cramer's V=0.068) (supporting evidence only, not decisive)"
S2ALG1M12,"What math course or courses [are you currently taking/were you taking during the spring term of 2012]? Algebra I, 1A or 1B 0=No 1=Yes",S2 - First follow-up student survey item (2012),Academic performance,25.84,Low,Weak (Cramer's V=0.066),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.066) (supporting evidence only, not decisive)"
S2PREALGM12,What math course or courses [are you currently taking/were you taking during the spring term of 2012]? Pre-algebra 0=No 1=Yes,S2 - First follow-up student survey item (2012),Academic performance,25.84,Low,Weak (Cramer's V=0.059),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.059) (supporting evidence only, not decisive)"
S2MSPR12,[Are you currently/Were you] taking a math course [during the spring term of 2012?] 1=Yes 0=No,S2 - First follow-up student survey item (2012),Academic performance,16.29,Low,Weak (Cramer's V=0.065),Include,"Statistical association with target: Weak (Cramer's V=0.065) (supporting evidence only, not decisive)"
S2ANYAP,Have you taken any Advanced Placement (AP) courses? [Include any courses you are taking now.] 1=Yes 2=No 3=You don't know what an AP course is Administered To: All respondents.,S2 - First follow-up student survey item (2012),Academic performance,13.41,Low,Weak (Cramer's V=0.120),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.120) (supporting evidence only, not decisive)"
S2ALG1GRADE,What was your final grade in Algebra I? 1=A (between 90-100) 2=B (between 80-89) 3=C (between 70-79) 4=D (between 60-69) 5=Below D (anything less than 60) 6=Your class was not graded 7=You haven't completed the course yet Administered To: Respondents who took Algebra I.,S2 - First follow-up student survey item (2012),Academic performance,15.99,Low,Weak (Cramer's V=0.085),Include,"Statistical association with target: Weak (Cramer's V=0.085) (supporting evidence only, not decisive)"
S2ALG1WHEN,"What grade were you in when you took Algebra I? [(If you have taken it more than once, answer for your most recent course. If you are currently taking Algebra I, choose your current grade.) / (If you have taken it more than once, answer for your most recent course.)] 1=8th grade or earlier 2=9th grade 3=10th grade 4=11th grade 5=12th grade 6=You have not taken Algebra I yet Administered To: All respondents. ""12th grade"" recoced as ""11th or 12th grade"" on the public use file.",S2 - First follow-up student survey item (2012),Academic performance,13.54,Low,Weak (Cramer's V=0.099),Include,"Statistical association with target: Weak (Cramer's V=0.099) (supporting evidence only, not decisive)"
S2COST4YPRV,What is your best estimate of the cost of one year's tuition and required fees at a typical private 4-year college ? (Please include the cost of courses and required fees such as student activity fees and student health fees. Do not include optional expenses such as room and board.) $ per year Administered To: All respondents. Sparse values recoded to similar values on the public use file. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -9.00 100000.00 13547.30 21128.04,S2 - First follow-up student survey item (2012),Academic performance,,Low,Weak (Eta-sq=0.021),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Eta-sq=0.021) (supporting evidence only, not decisive)"
S2FAMILYWENT,How important to you [will/would] each of the following characteristics be when choosing a school or college to attend after high school? A family member went there 1=Very important 2=Somewhat important 3=Not at all important,S2 - First follow-up student survey item (2012),Demographic or socioeconomic controls,16.39,Low,Weak (Cramer's V=0.059),Include,"Statistical association with target: Weak (Cramer's V=0.059) (supporting evidence only, not decisive)"
S2FAMREC,How important to you [will/would] each of the following characteristics be when choosing a school or college to attend after high school? Recommended by family or friends 1=Very important 2=Somewhat important 3=Not at all important,S2 - First follow-up student survey item (2012),Demographic or socioeconomic controls,16.23,Low,Weak (Cramer's V=0.063),Include,"Statistical association with target: Weak (Cramer's V=0.063) (supporting evidence only, not decisive)"
S2JOBPLC,How important to you [will/would] each of the following characteristics be when choosing a school or college to attend after high school? A good record of placing graduates in jobs 1=Very important 2=Somewhat important 3=Not at all important,S2 - First follow-up student survey item (2012),Career interests and aspirations,16.26,Low,Weak (Cramer's V=0.060),Include,"Statistical association with target: Weak (Cramer's V=0.060) (supporting evidence only, not decisive)"
S2MOSTIMP2013,Which of these activities do your parents think is most important for you to do in the fall of 2013? 1=Continuing your education after high school 2=Working 3=Serving in the military 4=Starting a family or taking care of your children 5=Attending high school or a GED completion course,S2 - First follow-up student survey item (2012),Academic performance,13.09,Low,Weak (Cramer's V=0.063),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.063) (supporting evidence only, not decisive)"
S2ALG2M12,What math course or courses [are you currently taking/were you taking during the spring term of 2012]? Algebra II 0=No 1=Yes,S2 - First follow-up student survey item (2012),Academic performance,25.84,Low,Weak (Cramer's V=0.100),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.100) (supporting evidence only, not decisive)"
S2MGETBY,How often [do/did] you do these things in [math course title]? You [do/did] as little work as possible; you just [want/wanted] to get by. 1=Never 2=Less than half of the time 3=Half of the time 4=More than half of the time 5=Always,S2 - First follow-up student survey item (2012),Academic performance,26.89,Low,Weak (Cramer's V=0.058),Include,"Statistical association with target: Weak (Cramer's V=0.058) (supporting evidence only, not decisive)"
